"filename", "language", "TypeScript JSX", "XML", "TypeScript", "PostCSS", "comment", "blank", "total"
"/home/percy/IdeaProjects/inventory-system-frontend/src/api/client.ts", "TypeScript", 0, 0, 39, 0, 1, 9, 49
"/home/percy/IdeaProjects/inventory-system-frontend/src/api/productApi.ts", "TypeScript", 0, 0, 57, 0, 0, 9, 66
"/home/percy/IdeaProjects/inventory-system-frontend/src/app/App.css", "PostCSS", 0, 0, 0, 158, 0, 27, 185
"/home/percy/IdeaProjects/inventory-system-frontend/src/app/App.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 2, 8
"/home/percy/IdeaProjects/inventory-system-frontend/src/app/index.css", "PostCSS", 0, 0, 0, 14, 0, 2, 16
"/home/percy/IdeaProjects/inventory-system-frontend/src/app/main.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 2, 14
"/home/percy/IdeaProjects/inventory-system-frontend/src/assets/react.svg", "XML", 0, 1, 0, 0, 0, 0, 1
"/home/percy/IdeaProjects/inventory-system-frontend/src/assets/vite.svg", "XML", 0, 1, 0, 0, 0, 1, 2
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/auth/pages/LoginPage.tsx", "TypeScript JSX", 138, 0, 0, 0, 8, 13, 159
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/customers/pages/CustomerPage.tsx", "TypeScript JSX", 409, 0, 0, 0, 5, 35, 449
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/dashboard/pages/DashboardPage.tsx", "TypeScript JSX", 74, 0, 0, 0, 0, 8, 82
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/inventory/pages/InventoryPage.tsx", "TypeScript JSX", 423, 0, 0, 0, 3, 35, 461
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/locations/pages/LocationPage.tsx", "TypeScript JSX", 526, 0, 0, 0, 0, 44, 570
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/products/components/ProductModal.tsx", "TypeScript JSX", 159, 0, 0, 0, 1, 12, 172
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/products/components/ProductTable.tsx", "TypeScript JSX", 118, 0, 0, 0, 0, 11, 129
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/products/hooks/useProducts.ts", "TypeScript", 0, 0, 134, 0, 0, 31, 165
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/products/pages/ProductPage.tsx", "TypeScript JSX", 240, 0, 0, 0, 6, 25, 271
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/purchase-orders/pages/PurchaseOrderPage.tsx", "TypeScript JSX", 892, 0, 0, 0, 5, 72, 969
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/sales-orders/pages/SalesOrderPage.tsx", "TypeScript JSX", 832, 0, 0, 0, 1, 75, 908
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/stock-movements/pages/StockMovementPage.tsx", "TypeScript JSX", 891, 0, 0, 0, 1, 90, 982
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/users/pages/UserPage.tsx", "TypeScript JSX", 450, 0, 0, 0, 0, 46, 496
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/vendors/pages/VendorPage.tsx", "TypeScript JSX", 435, 0, 0, 0, 5, 34, 474
"/home/percy/IdeaProjects/inventory-system-frontend/src/features/warehouses/pages/WarehousePage.tsx", "TypeScript JSX", 495, 0, 0, 0, 5, 40, 540
"/home/percy/IdeaProjects/inventory-system-frontend/src/layouts/Header.tsx", "TypeScript JSX", 137, 0, 0, 0, 2, 9, 148
"/home/percy/IdeaProjects/inventory-system-frontend/src/layouts/MainLayout.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 11, 82
"/home/percy/IdeaProjects/inventory-system-frontend/src/layouts/MobileSidebar.tsx", "TypeScript JSX", 76, 0, 0, 0, 0, 6, 82
"/home/percy/IdeaProjects/inventory-system-frontend/src/layouts/Sidebar.tsx", "TypeScript JSX", 89, 0, 0, 0, 2, 8, 99
"/home/percy/IdeaProjects/inventory-system-frontend/src/layouts/menuItems.tsx", "TypeScript JSX", 121, 0, 0, 0, 0, 10, 131
"/home/percy/IdeaProjects/inventory-system-frontend/src/layouts/pageTitles.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 1, 17
"/home/percy/IdeaProjects/inventory-system-frontend/src/routes/AppRoutes.tsx", "TypeScript JSX", 40, 0, 0, 0, 8, 8, 56
"Total", "-", 6650, 2, 230, 172, 53, 676, 7783
